"depth_interval","time_interval","pot_temp","depth","time_data"
"14",100,15.2984790802002,42.1450386047363,1995-04-16
"14",101,16.5872268676758,42.1450386047363,1995-05-16
"14",102,16.5672206878662,42.1450386047363,1995-06-16
"14",103,16.7794017791748,42.1450386047363,1995-07-16
"14",104,17.5470733642578,42.1450386047363,1995-08-16
"14",105,17.8809223175049,42.1450386047363,1995-09-16
"14",106,20.1384181976318,42.1450386047363,1995-10-16
"14",107,19.3468799591064,42.1450386047363,1995-11-16
"14",108,17.0066566467285,42.1450386047363,1995-12-16
"14",109,15.6192455291748,42.1450386047363,1996-01-16
"14",110,14.9720010757446,42.1450386047363,1996-02-15
"14",111,14.5467662811279,42.1450386047363,1996-03-16
"14",112,15.0277452468872,42.1450386047363,1996-04-16
"14",113,15.9798545837402,42.1450386047363,1996-05-16
"14",114,17.2359008789062,42.1450386047363,1996-06-16
"14",115,18.0631446838379,42.1450386047363,1996-07-16
"14",116,18.0563640594482,42.1450386047363,1996-08-16
"14",117,18.5187473297119,42.1450386047363,1996-09-16
"14",118,19.1267318725586,42.1450386047363,1996-10-16
"14",119,18.4994201660156,42.1450386047363,1996-11-16
"14",120,17.0157737731934,42.1450386047363,1996-12-16
"14",121,16.6191082000732,42.1450386047363,1997-01-16
"14",122,15.3057537078857,42.1450386047363,1997-02-15
"14",123,15.153751373291,42.1450386047363,1997-03-16
"14",124,15.3855686187744,42.1450386047363,1997-04-16
"14",125,15.7797889709473,42.1450386047363,1997-05-16
"14",126,16.3526573181152,42.1450386047363,1997-06-16
"14",127,17.6979942321777,42.1450386047363,1997-07-16
"14",128,18.5471534729004,42.1450386047363,1997-08-16
"14",129,19.4320125579834,42.1450386047363,1997-09-16
"14",130,20.5714092254639,42.1450386047363,1997-10-16
"14",131,19.9143466949463,42.1450386047363,1997-11-16
"14",132,17.7569828033447,42.1450386047363,1997-12-16
"14",133,16.38942527771,42.1450386047363,1998-01-16
"14",134,15.5413074493408,42.1450386047363,1998-02-15
"14",135,15.6229763031006,42.1450386047363,1998-03-16
"14",136,15.3069019317627,42.1450386047363,1998-04-16
"14",137,16.1497859954834,42.1450386047363,1998-05-16
"14",138,16.8613662719727,42.1450386047363,1998-06-16
"14",139,17.7729339599609,42.1450386047363,1998-07-16
"14",140,19.4877490997314,42.1450386047363,1998-08-16
"14",141,21.4521427154541,42.1450386047363,1998-09-16
"14",142,22.4310779571533,42.1450386047363,1998-10-16
"14",143,20.2344665527344,42.1450386047363,1998-11-16
"14",144,17.1682510375977,42.1450386047363,1998-12-16
"14",145,15.7709436416626,42.1450386047363,1999-01-16
"14",146,14.9699096679688,42.1450386047363,1999-02-15
"14",147,14.9932451248169,42.1450386047363,1999-03-16
"14",148,15.318962097168,42.1450386047363,1999-04-16
"14",149,16.2152404785156,42.1450386047363,1999-05-16
"14",150,17.0948638916016,42.1450386047363,1999-06-16
"14",151,18.1140174865723,42.1450386047363,1999-07-16
"14",152,18.9214630126953,42.1450386047363,1999-08-16
"14",153,21.0405502319336,42.1450386047363,1999-09-16
"14",154,21.4487800598145,42.1450386047363,1999-10-16
"14",155,21.9031028747559,42.1450386047363,1999-11-16
"14",156,19.1740341186523,42.1450386047363,1999-12-16
"14",157,16.4114227294922,42.1450386047363,2000-01-16
"14",158,15.5183401107788,42.1450386047363,2000-02-15
"14",159,15.3779373168945,42.1450386047363,2000-03-16
"14",160,15.6806106567383,42.1450386047363,2000-04-16
"14",161,16.3501300811768,42.1450386047363,2000-05-16
"14",162,17.6074638366699,42.1450386047363,2000-06-16
"14",163,19.3811779022217,42.1450386047363,2000-07-16
"14",164,20.8643054962158,42.1450386047363,2000-08-16
"14",165,20.7810096740723,42.1450386047363,2000-09-16
"14",166,22.3964881896973,42.1450386047363,2000-10-16
"14",167,21.7883815765381,42.1450386047363,2000-11-16
"14",168,19.5602760314941,42.1450386047363,2000-12-16
"14",169,17.6303081512451,42.1450386047363,2001-01-16
"14",170,15.8952007293701,42.1450386047363,2001-02-15
